Region,Theta (θ),Intercept,Intercept Z,Gizi Kurang Koef,Gizi Kurang Z,Persentase Bayi dengan IMD Koef,Persentase Bayi dengan IMD Z,Rokok Perkapita Koef,Rokok Perkapita Z,Kepadatan Penduduk Koef,Kepadatan Penduduk Z,Air Minum Layak Koef,Air Minum Layak Z,Sanitasi Layak Koef,Sanitasi Layak Z
Kota Banjar,1.85895173038337,6.02687006095795,32384.1296190009,0.000193178589216294,1.98284593217489,-0.00422938277715642,-0.393316657481245,0.0842477747558964,2.01112463284363,0.0000969823700108751,2.63771157014767,0.0016114662071649,0.0998956690844503,-0.00149117280340567,-0.12188536443192
Kota Bekasi,1.85888544175279,6.02685845819539,28892.5363859281,0.000187578606121667,1.9441415535643,-0.00430597794792575,-0.365999066081409,0.0791967072331888,1.84949725596266,0.0000983605407155019,2.68418510021418,0.00243412970972054,0.137174879836003,-0.00126957397288486,-0.0973121130455909
Kota Bogor,1.85888551960805,6.02685887281801,28766.0662577036,0.000187177587797028,1.93835660113593,-0.00426470419843247,-0.361992333827691,0.079196190780635,1.84535617487762,0.0000982511021429973,2.67657811936792,0.00245448628404501,0.137913239610235,-0.00131798314250905,-0.100760140484224
Kota Cimahi,1.85890509384982,6.02686329803618,30445.5704226554,0.000188696109393291,1.98321609053347,-0.0042465734346889,-0.376733587126669,0.0809305982489013,1.93523890578003,0.0000980887123185697,2.72619286297698,0.00214347985410891,0.126307329967654,-0.00135245077005274,-0.107386678933423
Kota Cirebon,1.8589390778179,6.02686706777727,32336.8486213781,0.00019298668270989,2.00081341143696,-0.0043089142125039,-0.397995508648367,0.083433528907572,2.00837392676362,0.0000976559306967887,2.68706932944741,0.00165597001829432,0.102338389335537,-0.00132321058416502,-0.108298292778438
Kota Depok,1.85888417950542,6.02685833638132,28701.7844729965,0.000187269262735548,1.93765991920429,-0.00428606541440587,-0.362854889796358,0.0790697876498425,1.84056491881345,0.0000983077409506376,2.67576730818746,0.002468523180808,0.138404721408864,-0.00129319707589035,-0.0987038359885969
Kota Sukabumi,1.85889102894738,6.02686052383686,29149.5677561266,0.000187321170361734,1.94602863132022,-0.00423142603368689,-0.363200554031389,0.0797093036793031,1.86763509083939,0.0000981482676351886,2.68547719031047,0.00237450851444784,0.134919919564825,-0.00135901574091826,-0.104798019968904
Kota Tasikmalaya,1.85893595705077,6.02686850679055,31840.5130000423,0.000191256839981026,1.98809820449669,-0.00421695068719656,-0.387259204630999,0.0832184638708002,1.99638341694068,0.0000974316036678733,2.68555787142749,0.00177922216383488,0.108773221041454,-0.00145627190210909,-0.118280646832637
Kuningan,1.85894121693508,6.02686806049593,32341.980942834,0.000192646490802733,2.00034109729818,-0.00427235474812807,-0.395924866188776,0.0835737848850584,2.01301582917734,0.0000974747027331692,2.6850888508968,0.00167024391705549,0.103374903891133,-0.00138660000254117,-0.113624037690887
Majalengka,1.85892769622369,6.02686642960371,31832.1745760792,0.00019120198543319,2.0033761187001,-0.00427390997767494,-0.391361631215714,0.082651190032994,1.99598473777988,0.0000978176665389122,2.71923274044871,0.0018213590519969,0.111270500737336,-0.0013502912374825,-0.109917885138555
Pangandaran,1.85895539181853,6.02687108824982,32161.5374569743,0.000193119976909594,1.96419706077817,-0.00419893706269795,-0.388761499267507,0.0844745102496766,1.99824640784748,0.0000967317040137379,2.60525850194488,0.0016117044056376,0.0993050499863681,-0.0015558765641359,-0.126263130962576
