No,NAMOBJ,Penemuan,JumlahBalita,NTL,AOD,PM10,CO,SO2,NO2,NDVI,NDWI,CurahHujanSum,Kemiskinan,Kepadatan,Sanitasi,AirMinum,GiziKurang,IMD,PuskesJml,RasioPuskesmas,RokokPerkapita,VitA,VitA_P,Latitude,Longitude,LatitudeOSM,LongitudeOSM,Imunisasi_P,BBLR_P,RLSPr,AirMinumLayak,Variabel Signifikan
37,Purwakarta,3797,96537,2.06131596852269,0.22154490533134,27.4286261833582,0.0329336766602407,0.000102,0.000079,0.552977857209848,-0.462823267016204,2343.32088992026,8.46,1044,77.33,39.09,854,83.1,20,20.7174451246672,21.527,61585,98.9,-6.5387,107.4499,-6.5387,107.4499,100.9,2.93,7.69,85.4,"X1, X4"
38,Subang,3896,160219,1.68559425702768,0.22784974817211,28.1090448227341,0.0328410256180885,0.000085,0.000069,0.527704550101972,-0.480420524647477,1901.15989701718,9.52,762,89.4,100,1894,85,40,24.9658280228937,21.826,75610,99.6,-6.5694,107.7524,-6.5694,107.7524,103.2,2.08,7.12,99.22,"X1, X4"
39,Sukabumi,4075,255148,0.797694143818268,0.139434106950863,18.5672288221371,0.0301068538442519,0.000086,0.000057,0.675980855652583,-0.566972735101833,2665.65975598773,7.01,673,53.21,75.13,6871,82.1,58,22.7319046200637,18.383,167311,98.5,-6.9241,106.9222,-6.9241,106.9222,101.7,5.21,7.08,85.72,X4
40,Sumedang,7047,118762,1.23698106944558,0.166458859427609,21.4837401094276,0.0302560497753239,0.000064,0.000059,0.645107594803731,-0.568442378693162,2334.09061473913,9.36,752,72.55,51.57,2665,90.6,35,29.4707061181186,18.955,61149,98.5,-6.096,110.0331,-6.8493,107.842,99,3.86,8.48,95.42,"X1, X3, X4"
41,Tasikmalaya,3794,179103,0.903719786456785,0.09514329580348,13.7873644831116,0.0286891572423034,0.000081,0.000045,0.736613822050912,-0.471605743496694,2310.89278266366,10.28,705,51.33,62.53,3527,83.4,40,22.3335175848534,16.85,85525,96,-7.328,108.2141,-7.3491,108.2166,95.4,4.97,7.83,89.03,"X1, X3, X4"
42,Cilacap,1514,201321,1.59095896021726,0.131294777350192,17.6888323716327,0.0305422995646188,0.000114,0.000052,0.599302361779102,-0.420731539702472,2184.73145482498,10.99,864,80.38,99.4,4265,92.28,38,18.8753284555511,14.416,93782,98,-7.7333,109,-7.7333,109,90.8,5.5,6.97,88.75,"X3, X4"
43,Banyumas,824,182207,1.70293637587272,0.130101212881639,17.5600228941865,0.029943182681562,0.000127,0.00005,0.636251349845407,-0.458815423289079,2292.3457168395,12.53,1314,83,100,4041,81.11,40,21.9530533953141,14.003,85882,94.7,-7.4832,109.1404,-7.4832,109.1404,94.5,8.3,7.54,93.57,"X3, X4"
44,Purbalingga,2627,103176,1.31073314251379,0.125280890095426,17.0398136590984,0.0292538660159025,0.000136,0.00005,0.661274409609855,-0.510708681239202,2892.30885618716,14.99,1275,77.19,75.58,3324,77.95,22,21.3227882453284,14.641,48388,86.3,-7.3907,109.3638,-7.3907,109.3638,102,5.1,7.11,82.82,"X3, X4"
45,Banjarnegara,3173,105043,1.06660687543052,0.104789250839182,14.8283559505645,0.028007392801053,0.000105,0.000049,0.695585635914799,-0.539719376540621,2537.56005583364,14.9,915,46.09,100,2265,66.87,35,33.3196881277191,12.955,52558,97.9,-7.4027,109.6814,-7.4027,109.6814,87.8,7.7,6.61,87.56,X4
46,Kebumen,4643,139154,1.06617109498989,0.143928571428571,19.0522714285714,0.0305542939123147,0.000114,0.000047,0.610393765300422,-0.484867915146992,2348.81572469142,16.34,1048,93.68,100,3234,93.18,35,25.1519898817138,10.943,141778,98.7,-7.6787,109.6565,-7.6787,109.6565,88.4,6.4,7.43,87.34,X4
